name,id,categories,lat,long,checkins
Wide Awake Club,51ef6678498ea5a43666bdcb,Other Nightlife,40.8891284281,-74.0571469348,156
Soo Karaoke,4f1a3c5ae4b0f271e56d6ba6,Karaoke Bar,40.85311,-73.999974,42
マヨナカアリーナ,511838f9f31c21dd30049ab5,Other Nightlife,40.8906365978,-74.0036058426,430
Hanabi,50f74b7be4b06f5436f9211e,Japanese Restaurant,40.8475393283,-73.9703850081,111
Dora Dora - 도라 도라,4be9ec19a9900f4764f41540,Korean Restaurant,40.850175,-73.970294,346
Reynold's Bar,4a3c88c5f964a5209ea11fe3,Dive Bar,40.849503149,-73.936415525,510
Uptown Social,5164e4cce4b04e0fe2d95218,Cocktail Bar,40.8643565111,-73.9269032307,658
809 Lounge,4b02fd24f964a520b04b22e3,Lounge,40.862018,-73.925207,1755
in my bathtub,4d2b9b26342d6dcb1a8f17cb,Strip Club,40.8555709518,-73.867832793,150
Three Wise Monks,4f5c01b2e4b008b156e06213,Bar,40.8815367915,-74.1125344762,1318
The Cottage Bar,4b6fa3ddf964a520c3f82ce3,Pub,40.8859181166,-74.0126576783,2406
나가수노래방,4efe647d9adffb90cbae5f58,Karaoke Bar,40.8518070041,-73.9954134365,109
Local Battles Gaming Center,4c4d9348f53d0f47b12938a5,Gaming Cafe,40.8394796579,-73.9816761017,390
19금 포차,519700fa498e75b318d88822,Bar,40.847497,-73.970469,63
The Muriel,5047b7dfe4b0c03894a5fd01,Cocktail Bar,40.8527689486,-73.9322134102,419
Mia Sushi & Steakhouse,4f91e191e4b0c9a2aa2901c6,Lounge,40.8518915159,-73.9316106404,723
Bronx Alehouse,4acec156f964a520d3d120e3,Bar,40.8846893529,-73.8997070972,11740
Silhouette Restaurant & Lounge,4e8b34c561afcc24d9a236ca,Latin American Restaurant,40.8806837309,-73.9027386465,859
Williamsbridge Tavern,4baebd69f964a520cad33be3,Bar,40.84628906,-73.84793,215
Vivienne's Bar,4bc12e6374a9a5936a88d1f6,Dive Bar,40.8479082584,-73.8313311,478
Yankees Fan Central,533b452d498efe54966193c5,Sports Bar,40.8479156494,-74.0888290405,4
21 North,4fe0bd4ee4b0518a41b8cbcd,Moving Target,40.8680071456,-74.1169448172,471
Satin Dolls,4b959ca8f964a52023ac34e3,Strip Club,40.8826310134,-74.0668650217,1383
Super-hi Food and Liquor,4f323a4919836c91c7c2c0a3,Wine Bar,40.866206,-74.022831,8
Westside Tavern,4d03d30cdc45a0938883e6c6,Bar,40.8582478797,-74.0283110036,164
Blades Brewery,4fea6940e4b073076fa7be51,Brewery,40.850284487,-74.0197557712,148
Bolero Snort Brewery,4c8ae62c6418a143a283e4ce,Brewery,40.8574480541,-74.0211271589,188
K Pop 노래방,50d7c184e4b0dbf30fe54a8b,Karaoke Bar,40.8511361,-74.0027990973,27
M Lounge,520f07e111d21d65b76b29b9,Lounge,40.844429,-74.005327,46
Monkey Room,419d3780f964a5202c1e1fe3,Bar,40.854935,-73.93711,2085
La Nueva España Restaurant,4d377465d60c6dcb5d046ebc,Latin American Restaurant,40.8443299667,-73.93756515,256
P & K's Grille,4bfeb342ca1920a1d5b1eb81,Sports Bar,40.878299262,-73.9033770561,1868
Acr Wines and Liquors,4f328f6319836c91c7e3b78c,Wine Bar,40.84589,-73.8665,18
Gallifrey,50564a67e4b07ab78dff3f36,Speakeasy,40.839695299,-73.8609530973,32
My Sofa,4eacbc638b8181aef7d381e2,Other Nightlife,40.8779258776,-74.0773225941,294
Gabriel's Bar and Grille,4c1ea302fcf8c9b61c9aad0b,American Restaurant,40.8604786627,-74.0673029423,201
THE MAN CAVE,4c7db34c8da18cfa775da0ce,Speakeasy,40.8737042713,-74.0475947286,113
General Poor's Tavern,4ba43bb7f964a5207e8e38e3,Bar,40.8795538816,-74.0441523742,1894
Cozy Tavern,4c978c486b35a143c00137dc,Bar,40.8692832428,-74.0220739271,294
Janbeer,4e866f90f5b9b2d54054c9cc,Bar,40.8475,-73.970537,619
Yahoo Karaoke,4ccc8f8fc0378cfa10948748,Karaoke Bar,40.846593,-73.99911066,64
The Height Bar,50ca5db5e4b0a8af760488bf,Bar,40.8424693915,-73.9352387124,264
Da Heights Lounge,500c6444e4b0e68938acc1d9,Lounge,40.8451512124,-73.9380171267,798
South Beach Restaurant & Lounge,4f9fdc59e4b0410091f42f1c,Lounge,40.8483923284,-73.9343891067,625
Budda Restaurant & Lounge,4e8e8a9d6c254835944b0c0b,Nightclub,40.8403062278,-73.9215871649,127
Dyckman Bar,4dd5bed77d8b322663c7a305,Cocktail Bar,40.8656594224,-73.9275169373,2600
Casa de Bubbles,4ed841179911a3e78aa50620,Strip Club,40.8762321723,-73.8315595025,883
7th St. Cafe,4c017e450bce20a163daf6c6,Speakeasy,40.837309,-74.0890282,231
Shakers,4bf0b9c9f45ec928ba2f943c,Other Nightlife,40.8338195585,-74.0888866294,304
...,4f6eae7ae4b0a4e210cfc1d5,Speakeasy,40.8421676075,-74.085989951,3
RISE Lodi,4bccee4c8920b7134e0f9fdc,Nightclub,40.8738465126,-74.0871945157,2913
The Crow's Nest,4bc6484b51b376b0d8521b6f,American Restaurant,40.8751889603,-74.0640425827,1807
Freaky Frank's,535c3a9b498e042282ddecc6,Dive Bar,40.8445977284,-74.0446285703,1
Van Olst Tiki Bar,4e35dc5de4cd9aba7cc99ab4,Wine Bar,40.87380896,-74.0478242166,577
Andy's Corner Bar,451ad4f2f964a5206a3a1fe3,Bar,40.8728528075,-74.0214542248,1750
Rusty Kale's Pub,4ace8856f964a52012d120e3,Pub,40.8438626084,-73.9674818516,769
Glen Lounge At Glenpointe Center,4bad6162f964a5200c4c3be3,Bar,40.8715660376,-74.005060074,508
Whiskey Pete's Bar & Cafe,4d098c92e023224b01a75bd2,Sports Bar,40.828021,-73.986525,1453
La Marina NYC,4faad0484fc68152ec7e368c,Lounge,40.8687830989,-73.9320874214,3951
Indian Road Cafe,49caa774f964a520d1581fe3,American Restaurant,40.87291084,-73.918512,6107
Papasito Mexican Grill And Agave Bar,4c312226a0ced13ad939136e,Bar,40.865874468,-73.927592127,2904
Maduro Cigars,535e8432498ec6eb76d85da7,Smoke Shop,40.8433189392,-73.8856201172,3
Archer Sports Bar,4e8249980aafa751a4a6317d,Sports Bar,40.838125,-73.863491377,132
The Golden Palace,4f24c449e4b067a327366afe,Other Nightlife,40.8353353241,-73.8554686932,24
Eastwood Manor,4c42859ad7fad13a165f09da,Other Nightlife,40.8763455575,-73.8462568477,845
Doyle's Pub,4c2d2cfee116e21e7a308e60,Bar,40.8483644959,-73.8553653208,354
Suzy's Stout Haus,506748a6e0e2daa6cbe1491a,Strip Club,40.8370770287,-74.100894928,184
Blackjack Mulligan's Public House,50ab666f52627487f9851144,Bar,40.8698459267,-74.0972471237,844
The Rock Bar & Grill,4b832fc3f964a52065fc30e3,Bar,40.8398794112,-74.1342777014,3251
Bugsy's Bar East,5038b110e4b0a9cf5927266d,Speakeasy,40.869,-74.06815,242
Colonial Bar & Liquors,4d9fdac0c41ca143802b3ba3,Bar,40.8401315657,-74.005674091,541
Legends,4b63a675f964a520b6892ae3,Bar,40.840281,-73.998242,934
Raku Izakaya,4baed85ff964a52096dc3be3,Japanese Restaurant,40.8513778,-73.970604,2203
Inwood Local,4d9f1c39daf0dcb397f7a8a3,Wine Bar,40.868073,-73.92065391,3259
District 12,519db35c498e23bb24eb1e90,Cocktail Bar,40.8669913341,-73.922402381,1036
Apt 78,4d135d85d0fda093907cb257,Bar,40.856914,-73.932376,3306
Beso Lounge,4cf0c3997bf3b60c0bba5b7f,Lounge,40.872493071,-73.8784791925,1306
Gun Hill Brewery,51aa0448498eae4438b5eb38,Brewery,40.8720063082,-73.8556237518,102
Deja Vu,4deb0707b0fb8293f7e5d524,Bar,40.8640057235,-74.1039371676,121
Maggie's Bar and Restaurant,4c032b07310fc9b64b9fc561,Bar,40.8386318839,-74.0911121659,596
Twins Go-Go Lounge,4dacce148154e1a040e003b8,Strip Club,40.8629589821,-74.0961367341,471
Transfer Station,4f49b389e4b0b8ab47c6c685,Other Nightlife,40.840516,-74.052561,355
101 Pub,4ba19d8df964a52006c437e3,Bar,40.8684160437,-74.0223321358,2169
Waterside On The Hudson,4fac7ff0e4b08541e8f12653,Lounge,40.7948910518,-73.9939041327,1133
New York Wing Factory,5287fb45498ea6c480c2e7a2,Wings Joint,40.8499979557,-73.9704538824,542
Field MVP Club Lounge,5342c35f11d24c9299cebae2,Lounge,40.8295250779,-73.9269893428,33
Locksmith Bar,4a89fe91f964a5209b0920e3,Bar,40.8572431468,-73.9321617443,4493
Castro Bar,532b8820498e7cdf4e66b85a,Bar,40.86173784,-73.9250661617,152
Salsa Con Fuego,50bd5089e4b0e53ea372c8ec,Latin American Restaurant,40.8625938475,-73.9115803962,313
South of France,4c0703970e0a2d7f98ccec0c,Bar,40.8319978098,-73.8664660613,120
The New York Botanical Gardens - The Rock Garden,4beec73de24d20a1fd557314,Beer Garden,40.8644585933,-73.8824558258,1386
i am at final fantasy x hq,52da1f10498e53fc3e0554e7,Lounge,40.8671684265,-73.8689041138,44
Step In Lounge and Restaurant,509d8986e4b00baa8c1a0c98,Lounge,40.8340188789,-73.861027753,23
TGI Fridays,4ac18d7ff964a5207a9720e3,American Restaurant,40.86348493,-73.83413315,4149
El Son Caribeno Restaurant & Bar,5227a9c311d29a4d82f71fc9,Bar,40.8358162217,-73.840530814,5
Gleasons Cafe,4b9c7dc7f964a520336c36e3,Bar,40.854373,-73.843423,547
Edgewater Wine and Spirits,4b897addf964a520533a32e3,Hookah Bar,40.8139725551,-73.9831607609,860
S&R's Love Shack,4ecb585ff5b90c1c33333db2,Strip Club,40.8261489868,-74.0068283081,20
El Carretero,4c06ac0ca0129c74b45fd2c9,Sports Bar,40.798696972,-74.0088703906,117
El Morocco,4be7a8b1d837c9b6ed79a406,Nightclub,40.8261504612,-73.9503747225,1860
Tonelli Cafe & Bar,4ba02868f964a520615e37e3,Italian Restaurant,40.829249418,-73.9484013842,2664
Buddha Beer Bar,4f2abe91a17c1572126c69ca,Bar,40.8573018493,-73.9321410656,3577
Lucky 7 Tapas Bar,4e8d32ebb803ca3dfcbd112e,Bar,40.8505203139,-73.9330630255,1034
Tommy Bahama's Bar,4bf1ec69324cc9b672a5cc92,Bar,40.8289756304,-73.9277744293,722
Stadium Pizza,4ac159f9f964a520dc9620e3,Bar,40.825573,-73.926574,690
Yankee Bar & Grill,4dcdae3a7d8b975f18bbcffd,Bar,40.827305,-73.926246,725
Howl At The Moon,4a73de62f964a5208fdd1fe3,Pub,40.857632,-73.886506,2025
L & V's Humble Abode,5363adc1498e4036c4ba0c6d,Nightclub,40.8590037208,-73.8848300054,18
Mugz,4a47aecff964a520f2a91fe3,Bar,40.8573364818,-73.8859784125,1310
Istanbul Cafe,4ef56f65a69dea74f915b704,Hookah Bar,40.8474656523,-73.8675054674,65
Pinstripes Bar And Grill,51aea671e4b0dccec4f98c1e,Bar,40.8312486386,-73.8510638308,74
NYPD - 45th Precinct IDTU,530af37b498e151fbdda0173,Brewery,40.8307980664,-73.8272976997,10
Legacy Bar,4d687ef46297721e8fcabcb5,Bar,40.8418070394,-73.8432761147,304
Riverside Bar and Grill,4b6522f3f964a520d1e52ae3,American Restaurant,40.8354656568,-74.1250770073,919
The Heights Bar and Grill,4bb53fce46d4a59313d0c4c0,Bar,40.8602800833,-74.08008506,1888
The Balcony Restaurant and Lounge,4f1a22b0e4b0838230c4028a,Restaurant,40.8390491113,-74.0947429461,616
Coca Cola,4bc44c7e4cdfc9b650679821,Office,40.833903,-74.058061,93
908 Lounge,4f3f13e0e4b0c47356b4e89c,Speakeasy,40.8289896506,-73.9794876754,583
